"filename", "language", "C++", "XML", "JavaScript", "comment", "blank", "total"
"/home/murom/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramScene/diagramscene.cpp", "C++", 5, 0, 0, 0, 3, 8
"/home/murom/QT/SPARQL_v2.0/SPARQL/DiagramItems/DiagramScene/diagramscene.h", "C++", 15, 0, 0, 0, 6, 21
"/home/murom/QT/SPARQL_v2.0/SPARQL/MainForm/mainwindow.cpp", "C++", 29, 0, 0, 0, 11, 40
"/home/murom/QT/SPARQL_v2.0/SPARQL/MainForm/mainwindow.h", "C++", 29, 0, 0, 0, 9, 38
"/home/murom/QT/SPARQL_v2.0/SPARQL/MainForm/mainwindow.ui", "XML", 0, 31, 0, 0, 1, 32
"/home/murom/QT/SPARQL_v2.0/SPARQL/SWidgets/SGraphicsView/sgraphicsview.cpp", "C++", 26, 0, 0, 0, 7, 33
"/home/murom/QT/SPARQL_v2.0/SPARQL/SWidgets/SGraphicsView/sgraphicsview.h", "C++", 24, 0, 0, 0, 8, 32
"/home/murom/QT/SPARQL_v2.0/SPARQL/SWidgets/SMenuBar/smenubar.cpp", "C++", 72, 0, 0, 26, 19, 117
"/home/murom/QT/SPARQL_v2.0/SPARQL/SWidgets/SMenuBar/smenubar.h", "C++", 33, 0, 0, 0, 9, 42
"/home/murom/QT/SPARQL_v2.0/SPARQL/SWidgets/STabWidget/stabwidget.cpp", "C++", 27, 0, 0, 0, 4, 31
"/home/murom/QT/SPARQL_v2.0/SPARQL/SWidgets/STabWidget/stabwidget.h", "C++", 15, 0, 0, 0, 8, 23
"/home/murom/QT/SPARQL_v2.0/SPARQL/SWidgets/SToolBar/stoolbar.cpp", "C++", 52, 0, 0, 0, 11, 63
"/home/murom/QT/SPARQL_v2.0/SPARQL/SWidgets/SToolBar/stoolbar.h", "C++", 26, 0, 0, 0, 10, 36
"/home/murom/QT/SPARQL_v2.0/SPARQL/SWidgets/SToolBox/stoolbox.cpp", "C++", 18, 0, 0, 0, 8, 26
"/home/murom/QT/SPARQL_v2.0/SPARQL/SWidgets/SToolBox/stoolbox.h", "C++", 18, 0, 0, 0, 7, 25
"/home/murom/QT/SPARQL_v2.0/SPARQL/Sources/scripts/XMLHttpRequest.js", "JavaScript", 0, 0, 16, 0, 4, 20
"/home/murom/QT/SPARQL_v2.0/SPARQL/Sources/scripts/block_logic.js", "JavaScript", 0, 0, 58, 1, 5, 64
"/home/murom/QT/SPARQL_v2.0/SPARQL/Sources/scripts/progress.js", "JavaScript", 0, 0, 15, 0, 3, 18
"/home/murom/QT/SPARQL_v2.0/SPARQL/Sources/scripts/script.js", "JavaScript", 0, 0, 19, 0, 7, 26
"/home/murom/QT/SPARQL_v2.0/SPARQL/main.cpp", "C++", 9, 0, 0, 0, 5, 14
"/home/murom/QT/SPARQL_v2.0/SPARQL/sources.qrc", "XML", 0, 36, 0, 0, 1, 37
"Total", "-", 398, 67, 108, 27, 146, 746